,id,release_date,revenue,genres,vote_count,runtime,budget,vote_average,release_month,release_year
3883,2604,1989-12-20,161001698.0,Drama War,403.0,145.0,14000000,6.7,12,1989
3884,10132,1988-12-21,3468572.0,Drama,46.0,110.0,4000000,6.7,12,1988
3885,11064,1985-05-22,45833132.0,Comedy,144.0,97.0,20000000,6.5,5,1985
3886,107,2000-09-01,83557872.0,Thriller Crime,2953.0,103.0,10000000,7.7,9,2000
3887,40820,1988-10-07,21032267.0,Comedy Drama,41.0,123.0,15000000,5.1,10,1988
3889,392,2000-12-14,152500343.0,Comedy Drama Romance,979.0,121.0,25000000,6.8,12,2000
3890,8859,2000-12-15,73180723.0,Comedy,523.0,83.0,13000000,5.3,12,2000
3891,11688,2000-12-09,169327687.0,Adventure Animation Comedy Family Fantasy,1544.0,78.0,100000000,7.2,12,2000
3892,12509,2000-09-06,8.0,Drama Romance,91.0,122.0,6,6.6,9,2000
3893,3981,2000-12-15,374111707.0,Comedy Romance,1021.0,127.0,70000000,6.1,12,2000
3894,711,2000-12-21,80049764.0,Drama,305.0,136.0,43000000,7.0,12,2000
3895,2046,2000-12-22,12008642.0,Horror Drama Thriller Mystery,288.0,111.0,10000000,6.4,12,2000
3896,5001,2000-09-03,8524534.0,Drama,65.0,134.0,0,6.6,9,2000
3897,8358,2000-12-22,429632142.0,Adventure Drama,3304.0,143.0,90000000,7.5,12,2000
3899,25520,2000-09-23,5164404.0,Drama Romance,25.0,140.0,10000000,6.4,9,2000
3900,1493,2000-12-14,212000000.0,Comedy Crime Action,987.0,111.0,45000000,6.1,12,2000
3902,134,2000-08-30,71868327.0,Action Adventure Comedy,1144.0,106.0,26000000,7.3,8,2000
3905,10577,2000-12-22,33000337.0,Thriller Horror,150.0,99.0,28000000,4.6,12,2000
3908,11973,2000-12-24,34566746.0,Drama Thriller,192.0,145.0,80000000,6.9,12,2000
3909,1900,2000-12-27,207515725.0,Thriller Drama Crime,573.0,147.0,48000000,6.9,12,2000
3911,10873,2000-05-15,8279017.0,Drama Horror,149.0,92.0,8000000,6.6,5,2000
3912,26719,1987-10-11,2585639.0,Crime Drama Mystery Thriller,83.0,102.0,0,7.0,10,1987
3914,15739,1982-06-18,57059003.0,Comedy Drama Family Music,203.0,127.0,50000000,6.2,6,1982
3915,15413,1991-06-07,25196249.0,Comedy Family,108.0,105.0,10000000,5.8,6,1991
3916,2623,1982-07-28,129795554.0,Drama Romance,219.0,124.0,0,6.8,7,1982
3917,11209,1960-10-23,7900000.0,Action Adventure Drama History Western,63.0,167.0,12000000,6.5,10,1960
3918,13715,1986-04-18,2347000.0,Crime Drama,67.0,111.0,6500000,6.7,4,1986
3922,10655,1993-10-08,25000000.0,War Drama History,91.0,254.0,0,6.6,10,1993
3926,9989,2001-01-12,18195610.0,Action Crime Drama,156.0,108.0,30000000,5.8,1,2001
3928,9816,2001-01-12,91038276.0,Drama Family Romance Music,359.0,112.0,13000000,6.3,1,2001
3929,20637,2000-12-01,779137.0,Comedy Crime Drama,27.0,88.0,1000000,6.8,12,2000
3930,5955,2001-01-09,29400000.0,Crime Drama Mystery Thriller,221.0,123.0,35000000,6.6,1,2001
3935,17474,1991-09-30,2853801.0,Drama Family Romance,56.0,99.0,0,7.1,9,1991
3937,2613,1992-07-10,22697691.0,Drama Comedy Romance,31.0,105.0,0,5.4,7,1992
3941,26333,1993-02-12,18899204.0,Comedy Drama Romance,49.0,102.0,0,6.5,2,1993
3942,16723,2001-01-24,13276953.0,Crime Comedy,60.0,81.0,11000000,5.7,1,2001
3943,2018,2001-01-26,94728529.0,Comedy,433.0,103.0,35000000,5.4,1,2001
3951,47943,2000-08-15,3818452.0,Comedy,47.0,117.0,0,6.7,8,2000
3956,10937,1987-09-02,3221568.0,Comedy Drama Romance,80.0,100.0,3000000,7.3,9,1987
3957,4639,1987-09-25,4278150.0,Action Crime Drama Thriller,26.0,95.0,0,6.3,9,1987
3958,96,1987-05-18,299965036.0,Action Comedy Crime,627.0,100.0,20000000,6.1,5,1987
3959,90,1984-11-29,316360478.0,Action Comedy Crime,985.0,105.0,15000000,6.8,11,1984
3962,67307,1987-09-25,1700000.0,Drama Romance,9.0,109.0,0,5.9,9,1987
3965,12919,1987-08-14,31623833.0,Drama Comedy Romance Family,167.0,94.0,1800000,6.7,8,1987
3966,15785,1987-11-12,14000.0,Science Fiction,67.0,99.0,10000000,6.0,11,1987
3971,70199,1987-02-06,2413427.0,Horror Thriller Crime Mystery,20.0,100.0,0,6.4,2,1987
3974,24826,1987-07-14,10348437.0,Comedy,12.0,86.0,0,4.4,7,1987
3976,17159,1987-11-25,50504655.0,Comedy,106.0,90.0,0,7.4,11,1987
3977,10110,1987-12-09,22238696.0,Drama History War,491.0,153.0,35000000,7.3,12,1987
3978,18935,1987-05-22,23509382.0,Comedy Family,40.0,92.0,3000000,5.5,5,1987
3979,764,1981-10-15,29400000.0,Horror,913.0,85.0,350000,7.3,10,1981
3985,28368,1987-05-05,5262047.0,Drama History,25.0,111.0,0,5.5,5,1987
3988,48149,1987-05-13,183700.0,Romance Drama,5.0,117.0,0,5.8,5,1987
3992,14464,1987-05-08,4215859.0,Comedy,21.0,93.0,0,6.1,5,1987
3993,65501,1987-11-25,1083282.0,Comedy Drama,11.0,116.0,0,5.5,11,1987
3994,32227,1987-03-06,1749956.0,Fantasy Comedy,2.0,102.0,0,7.0,3,1987
3995,2614,1987-06-30,25893810.0,Action Comedy Science Fiction,336.0,120.0,0,6.6,6,1987
3997,12704,1987-05-15,14375181.0,Action Adventure Comedy,29.0,107.0,55000000,4.3,5,1987
3998,580,1987-07-17,51881013.0,Adventure Thriller,227.0,89.0,23000000,3.5,7,1987
3999,24828,1987-12-18,4916871.0,Action Comedy,27.0,85.0,0,2.7,12,1987
4000,13703,1987-11-06,12396383.0,Drama Crime Romance,77.0,98.0,1,6.1,11,1987
4001,36914,1987-10-02,34377585.0,Comedy Fantasy,39.0,96.0,0,5.3,10,1987
4002,1547,1987-07-31,32222567.0,Horror Comedy,545.0,97.0,8500000,6.8,7,1987
4004,2608,1987-07-10,9868521.0,Comedy Fantasy,17.0,93.0,0,5.2,7,1987
4006,10019,1987-02-13,42721196.0,Fantasy Comedy Romance,130.0,89.0,6000000,5.5,2,1987
4007,11649,1987-08-07,17336370.0,Action Fantasy Science Fiction Adventure Thriller,196.0,106.0,22000000,5.1,8,1987
4009,13509,1987-08-14,3769990.0,Horror Comedy Action Fantasy Science Fiction,146.0,82.0,12000000,6.8,8,1987
4014,22915,1987-08-14,3832228.0,Action Drama Romance,13.0,96.0,0,5.2,8,1987
4015,24940,2001-02-02,10424470.0,Comedy Romance,73.0,86.0,14000000,5.3,2,2001
4018,843,2000-05-22,12854953.0,Drama Romance,379.0,98.0,0,7.8,5,2000
4022,9740,2001-02-08,351692268.0,Crime Drama Thriller Horror,1296.0,131.0,87000000,6.4,2,2001
4023,10878,2001-02-09,19351569.0,Comedy Crime Romance,155.0,90.0,22000000,5.4,2,2001
4028,19405,2001-01-27,44460850.0,Science Fiction Animation Comedy Family,68.0,83.0,10000000,6.6,1,2001
4029,1921,2001-02-16,65754228.0,Drama Romance,292.0,119.0,40000000,6.4,2,2001
4032,23685,2001-02-23,5409517.0,Adventure Fantasy Animation Action Comedy,79.0,93.0,75000000,4.2,2,2001
4033,12138,2001-02-23,18720175.0,Action Adventure Comedy Thriller Crime,181.0,125.0,62000000,5.8,2,2001
4035,6073,2001-03-01,147845033.0,Action Comedy Crime Romance,453.0,123.0,57000000,5.8,3,2001
4039,82103,2000-08-17,2070806.0,Comedy Drama Romance,14.0,104.0,1900000,6.5,8,2000
4041,2749,2001-03-01,56359980.0,Action Crime Thriller,194.0,120.0,60000000,5.7,3,2001
4043,17203,2001-03-01,637769.0,Comedy Drama,39.0,91.0,0,5.8,3,2001
4051,6028,1980-09-19,11000000.0,Crime Thriller Mystery,43.0,105.0,0,6.0,9,1980
4054,29492,1986-08-22,2510433.0,Action Comedy Crime,10.0,94.0,0,6.4,8,1986
4055,25447,1988-10-21,343786.0,Comedy Drama,17.0,93.0,0,5.4,10,1988
4063,2428,1965-02-15,15473333.0,Drama History,41.0,199.0,20000000,6.5,2,1965
4064,22013,1960-06-19,10400000.0,Drama,41.0,146.0,3000000,7.3,6,1960
4072,14460,1980-09-08,11000000.0,Science Fiction,42.0,104.0,2000000,5.9,9,1980
4073,17466,1990-09-14,16853487.0,Action Crime Drama Mystery Thriller,117.0,93.0,4000000,5.4,9,1990
4074,9594,1991-07-31,30102717.0,Thriller Action Crime Drama,219.0,110.0,15000000,5.3,7,1991
4075,35976,1978-05-10,45000000.0,Comedy,15.0,110.0,0,5.7,5,1978
4077,2453,1991-08-23,7434726.0,Action Thriller,86.0,98.0,23000000,6.1,8,1991
4078,33676,1983-04-08,1246141.0,Comedy,31.0,100.0,7000000,4.5,4,1983
4079,4587,1990-12-14,35419397.0,Comedy Drama Romance,124.0,110.0,31000000,6.5,12,1990
4080,31004,1989-02-17,4557214.0,Action Comedy Mystery Thriller,25.0,98.0,0,5.8,2,1989
4083,11454,1986-08-14,8620929.0,Crime Horror Thriller,340.0,119.0,15000000,6.8,8,1986
4084,38718,1990-10-05,15445131.0,Drama,59.0,111.0,0,6.6,10,1990
4085,4192,1978-10-06,14560084.0,Mystery,121.0,140.0,7920000,6.7,10,1978
4086,11607,1989-01-13,8143225.0,Action Horror Thriller Science Fiction,56.0,105.0,0,5.0,1,1989
4088,16889,1987-07-10,22642033.0,Comedy,71.0,98.0,0,5.5,7,1987
4093,4985,1974-08-21,43008075.0,Crime Comedy Drama,71.0,121.0,2900000,6.4,8,1974
4095,23730,1984-08-31,3412497.0,Horror Science Fiction,62.0,88.0,1250000,5.3,8,1984
4096,853,2001-03-13,96976270.0,War,1023.0,131.0,68000000,7.2,3,2001
4097,10877,2001-03-13,79958599.0,Action Crime Thriller,111.0,101.0,50000000,5.3,3,2001
4099,77,2000-10-11,39723096.0,Mystery Thriller,4168.0,113.0,9000000,8.1,10,2000
4105,10054,2001-03-18,147934180.0,Action Comedy Family Adventure,893.0,88.0,35000000,5.5,3,2001
4106,10646,2001-03-30,23430766.0,Comedy Romance,75.0,95.0,11000000,4.9,3,2001
4107,2575,2001-02-11,28008462.0,Drama Thriller,97.0,109.0,21000000,6.2,2,2001
4108,55,2000-06-16,20908467.0,Drama Thriller,537.0,154.0,2000000,7.6,6,2000
4111,2043,2001-04-06,105178561.0,Crime Mystery Thriller Action,408.0,104.0,60000000,6.1,4,2001
4112,4133,2001-04-04,83282296.0,Crime Drama,1352.0,124.0,53000000,7.4,4,2001
4114,10991,2000-07-08,68411275.0,Adventure Fantasy Animation Action Family,143.0,93.0,16000000,6.0,7,2000
4116,26791,2001-03-30,852206.0,Crime Drama Mystery Thriller,4.0,119.0,1000000,7.3,3,2001
4119,634,2001-04-13,281929795.0,Comedy Romance Drama,1397.0,97.0,25000000,6.6,4,2001
4120,10956,2001-04-10,30987695.0,Mystery Adventure Comedy Romance Drama,247.0,91.0,17700000,5.5,4,2001
4124,9519,2000-06-21,236185.0,Crime Drama Thriller,111.0,94.0,0,6.7,6,2000
4127,9290,2001-04-12,39438674.0,Adventure Comedy,149.0,92.0,21150000,4.7,4,2001
4131,153141,2001-01-26,32395.0,Romance Comedy Drama,0.0,96.0,0,0.0,1,2001
4135,111,1983-12-08,65884703.0,Action Crime Drama Thriller,3017.0,170.0,25000000,8.0,12,1983
4137,10477,2001-04-27,54744738.0,Action,180.0,116.0,94000000,4.5,4,2001
4140,24113,2001-04-27,10372291.0,Comedy Romance,18.0,104.0,90000000,4.1,4,2001
4142,1734,2001-04-28,433013274.0,Adventure Action Fantasy,2258.0,130.0,98000000,6.0,4,2001
4146,8095,1963-06-12,71000000.0,Drama History Romance,148.0,248.0,31115000,6.7,6,1963
4147,849,1983-07-29,16519460.0,Fantasy Action Adventure,130.0,117.0,27000000,5.8,7,1983
4152,11307,1982-08-13,29712172.0,Comedy,87.0,136.0,17000000,6.9,8,1982
4157,3784,1991-10-18,22773535.0,Drama Comedy Romance,115.0,118.0,0,6.6,10,1991
4158,78133,1993-11-05,1703282.0,Comedy Drama,14.0,104.0,12000000,7.0,11,1993
4162,25221,1991-11-22,23202444.0,Music Drama,20.0,138.0,40000000,6.5,11,1991
4164,40842,1979-03-02,22228000.0,Drama,31.0,110.0,0,6.9,3,1979
4165,19357,1985-08-09,24689703.0,Comedy,44.0,87.0,0,6.5,8,1985
4168,9062,1970-12-16,136400000.0,Drama Romance,123.0,99.0,2200000,6.6,12,1970
4170,934,1955-04-13,460226.0,Drama Action Crime,90.0,122.0,0,7.7,4,1955
4171,9476,2001-05-11,117487473.0,Adventure Drama Romance Action,933.0,132.0,65000000,6.6,5,2001
4175,19094,2001-05-11,1079726.0,Comedy,14.0,111.0,0,5.8,5,2001
4177,5852,2001-05-15,29700000.0,Drama Romance Thriller,91.0,102.0,53000000,5.5,5,2001
4178,808,2001-05-16,484409218.0,Adventure Animation Comedy Family Fantasy,4183.0,90.0,60000000,7.3,5,2001
4180,824,2001-03-09,179213434.0,Drama Music Romance,1348.0,127.0,52500000,7.4,3,2001
4182,676,2001-05-21,449220945.0,History Romance War,1833.0,183.0,140000000,6.6,5,2001
4189,26255,1992-11-13,754935.0,Comedy Romance,67.0,97.0,0,5.4,11,1992
4190,22414,1990-09-12,39071603.0,Comedy Drama,53.0,101.0,22000000,6.3,9,1990
4193,1406,1991-06-07,179033791.0,Action Adventure Comedy Drama Western,232.0,112.0,27000000,6.2,6,1991
4198,1632,1988-12-08,34604000.0,Thriller Crime Drama,336.0,128.0,15000000,7.4,12,1988
4199,966,1960-10-22,4905000.0,Western,472.0,128.0,2000000,7.4,10,1960
4201,301,1959-03-17,5800000.0,Western,265.0,141.0,0,7.6,3,1959
4204,12623,1987-10-23,18782400.0,Crime Drama Thriller,45.0,121.0,0,6.4,10,1987
4205,11896,1987-12-11,57915972.0,Crime Comedy,147.0,88.0,14000000,6.0,12,1987
4209,5923,1966-12-20,20000000.0,Action Adventure Drama War Romance,59.0,182.0,12000000,7.2,12,1966
4210,15497,1949-12-21,3225000.0,War Action Drama,31.0,132.0,0,7.0,12,1949
4212,11090,2001-06-01,84772742.0,Action Comedy,310.0,84.0,22000000,4.6,6,2001
4214,21056,2000-04-18,512451.0,Drama Romance,13.0,117.0,0,6.1,4,2000
4215,9397,2001-06-08,98376292.0,Action Comedy Science Fiction,650.0,101.0,80000000,5.7,6,2001
4216,9705,2001-06-07,147080413.0,Action Crime Thriller,946.0,99.0,102000000,6.1,6,2001
4221,10364,1970-06-24,24911670.0,War Comedy Drama,73.0,121.0,18000000,6.7,6,1970
4223,1089,1991-07-12,83531958.0,Action Thriller Crime,861.0,120.0,24000000,6.9,7,1991
4225,9967,1983-12-16,27900000.0,Action Adventure Drama Thriller,54.0,105.0,0,6.2,12,1983
4226,17494,1992-06-26,57138719.0,Crime Thriller,63.0,117.0,23000000,5.8,6,1992
4230,29393,1958-10-01,5000000.0,Horror Thriller,7.0,72.0,90000,6.1,10,1958
4233,9576,1982-12-16,177200000.0,Comedy Romance,429.0,116.0,21000000,6.9,12,1982
4238,10865,2001-06-02,186053725.0,Animation Family Adventure Science Fiction,1257.0,95.0,120000000,6.7,6,2001
4239,1995,2001-06-11,274703340.0,Adventure Fantasy Action Thriller,2235.0,100.0,115000000,5.7,6,2001
4240,10808,2001-06-22,176104344.0,Comedy Family Romance Fantasy,422.0,87.0,70000000,4.9,6,2001
4241,9799,2001-06-22,207283925.0,Action Crime Thriller,3485.0,106.0,38000000,6.6,6,2001
4242,644,2001-06-29,235926552.0,Drama Science Fiction Adventure,2011.0,146.0,100000000,6.8,6,2001
4243,16161,2001-06-27,29381649.0,Crime Drama Romance,57.0,130.0,16000000,7.3,6,2001
4244,10691,2001-06-29,16929123.0,Drama Romance,98.0,99.0,13000000,6.6,6,2001
4254,15564,1999-03-01,5471376.0,Documentary,1.0,40.0,0,6.5,3,1999
4258,10992,2001-07-04,93375151.0,Comedy Family,363.0,87.0,60000000,5.0,7,2001
4259,2140,2001-07-06,64437847.0,Action Crime Thriller,304.0,98.0,25000000,6.4,7,2001
4260,4248,2001-07-04,141220678.0,Comedy,1019.0,83.0,45000000,5.4,7,2001
4262,3134,2000-06-28,940944.0,Crime Drama Romance Thriller,75.0,77.0,0,4.2,6,2000
4268,11286,1981-06-19,72179579.0,Comedy,161.0,95.0,18000000,6.2,6,1981
4269,11950,1984-06-29,28078073.0,Action Comedy,86.0,108.0,0,5.4,6,1984
4270,12236,1989-04-21,3077361.0,Action Comedy,20.0,94.0,0,4.1,4,1989
4273,15875,1963-06-12,6600000.0,Adventure Comedy Romance,31.0,109.0,2686000,6.0,6,1963
4275,23439,1960-06-21,1450000.0,Horror Thriller,71.0,79.0,270000,6.5,6,1960
4278,11697,1962-04-22,8000000.0,Western,272.0,123.0,3200000,7.4,4,1962
4281,19200,1991-12-05,2735731.0,Thriller Comedy,80.0,85.0,14000000,7.0,12,1991
4282,11300,1986-11-07,8362969.0,Action Comedy Drama Romance,68.0,113.0,0,6.5,11,1986
4290,20197,1982-08-04,21134374.0,Action Comedy,25.0,90.0,0,6.1,8,1982
4291,43316,1955-12-25,3100000.0,Drama Romance,66.0,89.0,0,7.4,12,1955
4300,11536,1961-01-01,8200000.0,Drama Action Romance,76.0,124.0,4000000,6.8,1,1961
4301,10339,1956-06-27,10400000.0,Adventure Drama,90.0,116.0,4500000,6.9,6,1956
4314,13938,1985-03-22,25754284.0,Action Adventure Comedy,71.0,108.0,10000000,6.4,3,1985
4315,10540,1981-05-22,17374595.0,Science Fiction,153.0,112.0,16000000,6.2,5,1981
4316,9462,1972-06-01,85000000.0,Action Crime,235.0,100.0,130000,7.4,6,1972
4318,2114,2001-07-02,85131830.0,Adventure Action Animation Fantasy Science Fiction Thriller,441.0,106.0,137000000,5.9,7,2001
4319,8835,2001-07-13,141774679.0,Comedy,908.0,96.0,18000000,6.2,7,2001
4320,11371,2001-07-13,71069884.0,Action Crime Thriller,436.0,124.0,68000000,6.7,7,2001
4321,78248,2000-08-31,28.0,Drama Foreign,2.0,90.0,0,7.5,8,2000
4322,9517,2001-06-15,480811.0,Crime Drama,125.0,113.0,0,6.7,6,2001
4324,15745,2001-07-13,5476060.0,Action Comedy Thriller,55.0,94.0,5000000,6.3,7,2001
4325,24977,2000-05-05,21268532.0,Documentary,10.0,46.0,0,7.5,5,2000
4328,58904,2001-02-23,13651656.0,Animation Horror Thriller,2.0,38.0,0,5.0,2,2001
4335,47817,1988-08-18,5979011.0,Drama War,21.0,95.0,0,5.5,8,1988
4338,9395,1988-04-08,18869631.0,Action Adventure Drama Thriller,140.0,99.0,7500000,5.9,4,1988
4339,14506,1988-12-07,8083123.0,Action Adventure Comedy Fantasy,185.0,126.0,46630000,6.9,12,1988
4340,5333,1988-09-30,670774.0,Thriller Horror Drama,12.0,124.0,4000000,6.9,9,1988
4341,4281,1988-04-15,960040.0,Thriller Crime Mystery Drama,15.0,102.0,0,6.2,4,1988
4343,26044,1988-07-08,14681192.0,Comedy Romance,43.0,113.0,0,4.5,7,1988
4344,59797,1988-04-08,9797098.0,Horror Thriller,31.0,86.0,4000000,5.3,4,1988
4345,14911,1988-07-21,3184348.0,Action Drama War,42.0,105.0,0,5.9,7,1988
4346,15592,1988-12-21,57041866.0,Comedy Drama,65.0,123.0,0,6.5,12,1988
4349,30502,1988-07-22,15122000.0,Comedy Family,30.0,86.0,0,5.1,7,1988
4350,19382,1988-03-25,51684798.0,Comedy Drama Romance,72.0,106.0,20000000,6.4,3,1988
4352,9599,1988-08-05,8247943.0,Horror Science Fiction,187.0,95.0,19000000,6.3,8,1988
4353,94440,1988-12-23,784990.0,Drama Romance,12.0,95.0,8000000,5.3,12,1988
4356,110428,2013-03-13,115860.0,Drama,20.0,95.0,3512454,7.0,3,2013
4357,34604,1988-04-22,12277096.0,Comedy Romance,18.0,88.0,0,4.3,4,1988
4358,14441,1988-08-10,8674093.0,Drama,16.0,124.0,0,6.3,8,1988
4359,7520,1988-07-29,171504781.0,Drama Romance,330.0,104.0,20000000,5.7,7,1988
4360,10126,1988-04-15,46616067.0,Action Crime Drama,100.0,120.0,6000000,6.6,4,1988
4361,9602,1988-06-28,288752301.0,Comedy Romance,944.0,116.0,39000000,6.5,6,1988
4364,3980,1986-04-11,13167232.0,Action Comedy Horror Science Fiction Thriller,221.0,82.0,2000000,5.9,4,1986
4365,10127,1988-04-29,3813293.0,Comedy Horror Science Fiction Thriller,91.0,86.0,4500000,5.0,4,1988
4367,27397,1988-09-16,16262415.0,Comedy Drama Romance,11.0,97.0,0,5.8,9,1988
4368,9748,1988-03-18,12706478.0,Mystery Thriller,37.0,96.0,0,5.9,3,1988
4371,10141,1988-12-14,42039085.0,Crime Comedy,223.0,110.0,0,7.0,12,1988
4373,5680,1988-09-30,5596267.0,Fantasy Horror Comedy Science Fiction,88.0,96.0,0,6.1,9,1988
4374,26386,1988-11-11,28202109.0,Comedy Family,47.0,95.0,6000000,4.9,11,1988
4376,25884,1988-10-28,3527636.0,Action Comedy Family,10.0,90.0,0,5.7,10,1988
4377,26355,1988-01-15,17514553.0,Drama Family Romance,24.0,98.0,0,6.1,1,1988
4378,10675,1988-02-16,17637950.0,Crime Drama Mystery Thriller,232.0,120.0,20000000,6.6,2,1988
4381,2617,1988-06-17,43455230.0,Comedy,155.0,91.0,24000000,6.4,6,1988
4383,21362,1988-11-18,7399763.0,Horror Fantasy Comedy,57.0,99.0,0,5.6,11,1988
4384,30690,1988-08-26,6436211.0,Comedy,17.0,88.0,9000000,5.1,8,1988
4390,11347,1988-09-14,1189315.0,Comedy Horror,59.0,93.0,2500000,5.8,9,1988
4391,12144,1988-11-18,84460846.0,Animation Adventure Family,660.0,69.0,12300000,7.0,11,1988
4392,13704,1988-07-06,22433275.0,Comedy Family,100.0,90.0,8000000,6.1,7,1988
4398,12120,1988-12-09,13854000.0,Comedy Science Fiction,132.0,108.0,20000000,5.3,12,1988
4399,47818,1988-07-21,6264058.0,Drama Romance,16.0,90.0,0,4.9,7,1988
4400,38617,1988-03-11,7242035.0,Action Crime Drama Mystery Thriller,16.0,102.0,12000000,5.6,3,1988
4401,3543,1987-11-12,3587303.0,Comedy Drama,76.0,95.0,0,7.0,11,1987
4402,51321,1988-04-22,1893139.0,Drama,9.0,91.0,8000000,5.7,4,1988
4403,9604,1988-06-17,34994648.0,Action Crime,360.0,104.0,29000000,5.8,6,1988
4404,24929,1988-01-15,9205924.0,Comedy Horror,95.0,89.0,6200000,5.8,1,1988
4405,10925,1985-05-15,14237000.0,Comedy Horror,270.0,91.0,4000000,7.3,5,1985
4407,24266,1982-03-02,20659423.0,Family Drama Action Western Romance,38.0,104.0,3500000,6.9,3,1982
4408,58434,1988-09-02,187349.0,Drama Family,7.0,99.0,0,6.2,9,1988
4409,18197,1988-09-07,2835116.0,Drama,59.0,116.0,0,7.4,9,1988
4410,70842,1988-05-06,331000.0,Comedy Drama,10.0,89.0,0,5.7,5,1988
4411,38909,1988-07-09,8892589.0,Drama Music Romance,8.0,98.0,0,4.8,7,1988
4412,17126,1988-02-12,8.0,Music Comedy,17.0,92.0,0,4.5,2,1988
4413,11503,1988-02-05,19595031.0,Horror Thriller,120.0,98.0,7000000,6.2,2,1988
4415,9717,1988-02-12,29300000.0,Action Adventure Crime Thriller,45.0,109.0,0,6.7,2,1988
4416,11966,1988-07-06,21630088.0,Comedy Family Science Fiction Drama,168.0,110.0,0,5.5,7,1988
4417,2605,1986-05-09,40697761.0,Comedy Family Science Fiction,535.0,98.0,0,6.4,5,1986
4419,25497,1988-05-01,1791328.0,Romance Crime Drama,12.0,93.0,0,5.9,5,1988
4420,38560,1988-04-29,4594452.0,Action Comedy Crime Mystery Thriller,15.0,102.0,16000000,5.6,4,1988
4421,50203,1988-09-23,3790493.0,Comedy Drama Romance,1.0,101.0,0,5.5,9,1988
4425,8337,1988-11-23,13008928.0,Action Horror Science Fiction Thriller,562.0,94.0,4000000,7.1,11,1988
4427,8463,1988-01-01,4865997.0,Comedy Drama Romance,25.0,120.0,0,7.0,1,1988
4430,9493,1988-12-09,216614388.0,Comedy,566.0,107.0,15000000,5.7,12,1988
4433,29095,1988-06-17,808114.0,Horror Comedy,71.0,95.0,0,5.7,6,1988
4436,11352,1989-12-22,74134790.0,Fantasy Drama Romance,136.0,122.0,31000000,6.0,12,1989
4437,12500,1985-08-30,10499694.0,Action Adventure,71.0,95.0,1000000,5.5,8,1985
4440,32049,1993-01-01,6500000.0,Action Thriller,30.0,101.0,0,6.1,1,1993
4441,45225,1989-09-15,117463.0,Comedy Drama Romance,24.0,100.0,5000000,5.9,9,1989
4442,1648,1989-02-17,40485039.0,Adventure Comedy Science Fiction,464.0,90.0,10000000,6.7,2,1989
4443,4105,1989-09-22,45892212.0,Action Thriller Crime,250.0,125.0,30000000,6.2,9,1989
4444,22711,1989-12-15,19131000.0,Drama Romance,14.0,117.0,0,5.9,12,1989
4445,19124,1989-08-17,2692037.0,Action Thriller,88.0,86.0,0,6.2,8,1989
4448,10142,1989-08-18,18671317.0,Drama History War,203.0,113.0,22500000,6.8,8,1989
4451,10134,1989-04-07,10166459.0,Action Science Fiction,154.0,86.0,500000,4.9,4,1989
4452,21291,1989-10-27,19738015.0,Drama Comedy,20.0,117.0,19000000,5.6,10,1989
4453,4925,1989-03-24,8125592.0,Action Adventure Drama Thriller,16.0,105.0,0,5.4,3,1989
4456,14550,1989-04-07,28890240.0,Comedy,60.0,113.0,0,6.0,4,1989
4458,2210,1988-09-08,3916303.0,Music Comedy Drama Romance Science Fiction,110.0,100.0,10000000,5.5,9,1988
4460,21721,1983-09-23,4786789.0,Drama Music,32.0,95.0,0,6.6,9,1983
4461,116014,1989-12-13,7754571.0,Comedy Drama Romance,11.0,119.0,0,5.7,12,1989
4464,10551,1989-12-15,12195695.0,Action Comedy Crime Drama Thriller,45.0,110.0,0,5.4,12,1989
4465,20713,1989-03-03,2420917.0,War Adventure,23.0,117.0,16000000,5.9,3,1989
4468,1380,1989-01-13,2777280.0,Drama,31.0,109.0,0,5.4,1,1989
4473,9085,1989-11-17,60864870.0,Comedy Crime Drama,85.0,116.0,30000000,5.7,11,1989
4479,29185,1989-10-06,20047604.0,Action Crime Drama Thriller,28.0,113.0,0,6.4,10,1989
4482,505,1989-09-12,7237794.0,Crime Drama,49.0,94.0,20000000,6.1,9,1989
4484,10345,1989-04-28,78247647.0,Action Comedy Crime,209.0,101.0,17000000,5.5,4,1989
4485,10222,1989-04-20,14697005.0,Action Thriller,257.0,97.0,1500000,6.3,4,1989
4489,14372,1989-03-17,15704614.0,Adventure Horror Action Thriller Science Fiction,125.0,98.0,25000000,6.0,3,1989
4490,15138,1989-08-25,793775.0,Adventure Fantasy Comedy Family,53.0,102.0,7000000,5.6,8,1989
4491,9972,1989-08-04,22099847.0,Action Adventure Crime Drama Thriller,208.0,115.0,24000000,6.2,8,1989
4492,9494,1989-10-12,296000000.0,Comedy Romance,546.0,93.0,7500000,5.8,10,1989
4493,17362,1989-04-28,3960327.0,Comedy Romance,31.0,98.0,0,5.5,4,1989
4494,9942,1989-02-16,49797148.0,Comedy,222.0,107.0,11000000,6.7,2,1989
4497,24739,1989-05-19,1145404.0,Romance Science Fiction Thriller,50.0,87.0,3000000,7.2,5,1989
4500,27418,1989-10-20,15942628.0,Adventure Drama Action Thriller,53.0,108.0,12000000,5.0,10,1989
4501,39002,1989-06-02,16093651.0,Action Drama,20.0,93.0,8000000,5.6,6,1989
4508,12663,1988-12-24,4192440.0,Action History War,50.0,105.0,16000000,4.9,12,1988
4509,331,2001-07-18,368780809.0,Adventure Action Thriller Science Fiction,2109.0,92.0,93000000,5.7,7,2001
